അം	am	3
അംഗ	amga	2
അംഗ	anga	1
അംഗം	amgam	2
അംഗം	angam	1
അംഗങ്ങളാണ്	amgangalaanu	2
അംഗങ്ങളാണ്	angangalaanu	1
അംഗങ്ങളായ	amgangalaaya	1
അംഗങ്ങളായ	angangalaaya	2
അംഗങ്ങളായി	amgangaayi	1
അംഗങ്ങളായി	angangalaayi	2
അംഗങ്ങളായിരുന്നു	angangalaayirunnu	3
അംഗങ്ങളിൽ	amgangalil	1
അംഗങ്ങളിൽ	angangalil	2
അംഗങ്ങളും	amgamgalum	1
അംഗങ്ങളും	amgangalum	1
അംഗങ്ങളും	angangalum	1
അംഗങ്ങളുടെ	amgangalude	2
അംഗങ്ങളുടെ	angangalude	1
അംഗങ്ങളുള്ള	amganaglulla	1
അംഗങ്ങളുള്ള	amgangalulla	1
അംഗങ്ങളുള്ള	amkangalulla	1
അംഗങ്ങളെ	amgangale	1
അംഗങ്ങളെ	amkagale	1
അംഗങ്ങളെ	angagale	1
അംഗങ്ങൾ	amgangal	2
അംഗങ്ങൾ	angangal	1
അംഗങ്ങൾക്ക്	amgangalkku	1
അംഗങ്ങൾക്ക്	angangalkk	2
അംഗമാണ്	amgamaanu	1
അംഗമാണ്	angamaanu	2
അംഗമായ	amgamaaya	2
അംഗമായ	amgamaya	1
അംഗമായി	amgamayi	1
അംഗമായി	angamaayi	1
അംഗമായി	angamayi	1
അംഗമായിരുന്ന	amgamaayirunnu	1
അംഗമായിരുന്ന	amngamaayirunna	1
അംഗമായിരുന്ന	angamaayirunna	1
അംഗമായിരുന്നു	amgamaayirunnu	1
അംഗമായിരുന്നു	amgamayirunnu	1
അംഗമായിരുന്നു	angamaayirunnu	1
അംഗമായും	amgamaayum	1
അംഗമായും	amgamayum	2
അംഗമായും	angamaayum	1
അംഗരാജ്യങ്ങൾ	amgaraajyangal	1
അംഗരാജ്യങ്ങൾ	angaraajyangal	1
അംഗരാജ്യങ്ങൾ	angarajyangal	2
അംഗവും	amgavum	2
അംഗവും	angavum	1
അംഗവും	ankavum	1
അംഗവുമാണ്	amgavumaanu	1
